Position,PositionText,Points,DriverId,GivenName,FamilyName,Race,Race_name
3,3,15,leclerc,Charles,Leclerc,19,Mexico City Grand Prix
4,4,12,sainz,Carlos,Sainz,19,Mexico City Grand Prix
5,5,10,norris,Lando,Norris,19,Mexico City Grand Prix
6,6,8,russell,George,Russell,19,Mexico City Grand Prix
7,7,6,ricciardo,Daniel,Ricciardo,19,Mexico City Grand Prix
8,8,4,piastri,Oscar,Piastri,19,Mexico City Grand Prix
9,9,2,albon,Alexander,Albon,19,Mexico City Grand Prix
10,10,1,ocon,Esteban,Ocon,19,Mexico City Grand Prix
11,11,0,gasly,Pierre,Gasly,19,Mexico City Grand Prix
12,12,0,tsunoda,Yuki,Tsunoda,19,Mexico City Grand Prix
13,13,0,hulkenberg,Nico,Hülkenberg,19,Mexico City Grand Prix
14,14,0,zhou,Guanyu,Zhou,19,Mexico City Grand Prix
15,15,0,bottas,Valtteri,Bottas,19,Mexico City Grand Prix
16,16,0,sargeant,Logan,Sargeant,19,Mexico City Grand Prix
17,17,0,stroll,Lance,Stroll,19,Mexico City Grand Prix
18,R,0,alonso,Fernando,Alonso,19,Mexico City Grand Prix
19,R,0,kevin_magnussen,Kevin,Magnussen,19,Mexico City Grand Prix
20,R,0,perez,Sergio,Pérez,19,Mexico City Grand Prix
1,1,25,max_verstappen,Max,Verstappen,20,São Paulo Grand Prix
2,2,19,norris,Lando,Norris,20,São Paulo Grand Prix
3,3,15,alonso,Fernando,Alonso,20,São Paulo Grand Prix
4,4,12,perez,Sergio,Pérez,20,São Paulo Grand Prix
5,5,10,stroll,Lance,Stroll,20,São Paulo Grand Prix
6,6,8,sainz,Carlos,Sainz,20,São Paulo Grand Prix
7,7,6,gasly,Pierre,Gasly,20,São Paulo Grand Prix
8,8,4,hamilton,Lewis,Hamilton,20,São Paulo Grand Prix
9,9,2,tsunoda,Yuki,Tsunoda,20,São Paulo Grand Prix
10,10,1,ocon,Esteban,Ocon,20,São Paulo Grand Prix
